id,appId,appDisplayName
2f4e7943-69d3-4aea-aad5-986121cb0506,c606301c-f764-4e6b-aa45-7caaaea93c9a,Office Store
2f4f2e3f-2329-40f2-b398-22049dd9a3dc,0bf30f3b-4a52-48df-9a82-234910c4a086,Microsoft Graph Change Tracking
2f8671d5-c3cc-4410-9e3a-9d4511554693,c5b17a4f-cc6f-4649-9480-684280a2af3a,aciapi
303eab84-e04d-4a15-b0f2-88d062d2b6de,79d7fb34-4bef-4417-8184-ff713af7a679,Azure Bastion
30bb2961-66bd-4b54-a4c1-1f09bae83fa8,da9b70f6-5323-4ce6-ae5c-88dcc5082966,Universal Print
325ac11e-aab1-4881-a15b-69d0bb38d94e,ca7f3f0b-7d91-482c-8e09-c5d840d0eac5,Log Analytics API
33162846-e90f-47af-a18f-07b6e24e1ad1,c2ada927-a9e2-4564-aae2-70775a2fa0af,OCaaS Client Interaction Service
33783f2b-686f-45c4-9ad4-60a7d709d737,c9299480-c13a-49db-a7ae-cdfe54fe0313,PowerApps-Advisor
337ba47b-461c-497f-b086-818e8b907326,c03594ff-1168-40fb-aef7-eb9f1edf7278,Enterprise File Sync Admin Service
339c0da2-2f7e-4d32-9e9e-92d598c13c5c,3138fe80-4087-4b04-80a6-8866c738028a,SharePoint Notification Service
34586847-6dc2-4739-a7ee-6c7509dd324f,14d82eec-204b-4c2f-b7e8-296a70dab67e,Microsoft Graph Command Line Tools
34a37503-aabb-4584-afe3-282f0e50d70a,944f0bd1-117b-4b1c-af26-804ed95e767e,Media Analysis and Transformation Service
353447d1-1815-4a9d-b381-2d665bb035d9,509e4652-da8d-478d-a730-e9d4a1996ca4,Azure Resource Graph
35bdf111-25fd-4ccd-b141-2249dbdee655,73c2949e-da2d-457a-9607-fcc665198967,Azure Purview
35c1b37e-d863-4127-b363-9ea1848c5752,394866fc-eedb-4f01-8536-3ff84b16be2a,Microsoft People Cards Service
3670d965-ec49-430f-9ccc-8ca7ec57d7c7,0000000f-0000-0000-c000-000000000000,Microsoft.Azure.GraphExplorer
369295a0-5053-43cc-97b8-3792d5ac4f0d,60ca1954-583c-4d1f-86de-39d835f3e452,Radius Aad Syncer
36d719f1-077d-4a8a-b735-afe6049a5e1a,03127560-7283-4432-bebb-4b280d75c987,SCCM Cloud Management
36f4c500-2bc7-48aa-b1f8-a5cd918d5ed3,bf7b96b3-68e4-4fd9-b697-637f0f1e778c,Universal Store Entitlements Service
3746df15-1a15-492d-880c-48b1091edb75,603b8c59-ba28-40ff-83d1-408eee9a93e5,Verifiable Credentials Issuer Service
37559ccc-7866-4cb9-b5be-95567a138cd2,48af08dc-f6d2-435f-b2a7-069abd99c086,Connectors
